index;Sku;Style Id;Catalog;Category;Weight;TP 1;TP 2;MRP Old;Final MRP Old;Ajio MRP;Amazon MRP;Amazon FBA MRP;Flipkart MRP;Limeroad MRP;Myntra MRP;Paytm MRP;Snapdeal MRP;Custom_Size
77;Os182_5057_3XL;Os182_5057;Colors-8;Kurta;0.3;438;354.78;1895;1895;1895;1895;1895;1895;1895;1895;1895;1895;3XL
78;Os209_5058_S;Os209_5058;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;S
79;Os209_5058_M;Os209_5058;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;M
80;Os209_5058_L;Os209_5058;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;L
81;Os209_5058_XL;Os209_5058;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;XL
82;Os209_5058_2XL;Os209_5058;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;2XL
83;Os209_5058_3XL;Os209_5058;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;3XL
84;Os218_3151_S;Os218_3151;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;S
85;Os218_3151_M;Os218_3151;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;M
86;Os218_3151_L;Os218_3151;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;L
87;Os218_3151_XL;Os218_3151;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;XL
88;Os218_3151_2XL;Os218_3151;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;2XL
89;Os218_3151_3XL;Os218_3151;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;3XL
90;Os201_3152_S;Os201_3152;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;S
91;Os201_3152_M;Os201_3152;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;M
92;Os201_3152_L;Os201_3152;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;L
93;Os201_3152_XL;Os201_3152;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;XL
94;Os201_3152_2XL;Os201_3152;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;2XL
95;Os201_3152_3XL;Os201_3152;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;3XL
96;Os175_3153_S;Os175_3153;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;S
97;Os175_3153_M;Os175_3153;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;M
98;Os175_3153_L;Os175_3153;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;L
99;Os175_3153_XL;Os175_3153;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;XL
100;Os175_3153_2XL;Os175_3153;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;2XL
101;Os175_3153_3XL;Os175_3153;Breeze-4;Kurta;0.3;505;409.05;2038;2195;2195;2195;2195;2195;2195;2195;2195;2195;3XL
