SKU,Style,Category,Size,Color
Os196_1371_M,Os196_1371,Kurta,M,
Os196_1371_L,Os196_1371,Kurta,L,
Os196_1371_XL,Os196_1371,Kurta,XL,
Os196_1371_2XL,Os196_1371,Kurta,2XL,
Os196_1371_3XL,Os196_1371,Kurta,3XL,
Os193_1062_S,Os193_1062,Kurta,S,
Os193_1062_M,Os193_1062,Kurta,M,
Os193_1062_L,Os193_1062,Kurta,L,
Os193_1062_XL,Os193_1062,Kurta,XL,
Os193_1062_2XL,Os193_1062,Kurta,2XL,
Os193_1062_3XL,Os193_1062,Kurta,3XL,
Os205_1054_S,Os205_1054,Kurta,S,
Os205_1054_M,Os205_1054,Kurta,M,
Os205_1054_L,Os205_1054,Kurta,L,
Os205_1054_XL,Os205_1054,Kurta,XL,
Os205_1054_2XL,Os205_1054,Kurta,2XL,
Os205_1054_3XL,Os205_1054,Kurta,3XL,
Os203_1100_S,Os203_1100,Kurta,S,
Os203_1100_M,Os203_1100,Kurta,M,
Os203_1100_L,Os203_1100,Kurta,L,
Os203_1100_XL,Os203_1100,Kurta,XL,
Os203_1100_2XL,Os203_1100,Kurta,2XL,
Os203_1100_3XL,Os203_1100,Kurta,3XL,
Os204_3091_S,Os204_3091,Kurta,S,
Os204_3091_M,Os204_3091,Kurta,M,
Os204_3091_L,Os204_3091,Kurta,L,
Os204_3091_XL,Os204_3091,Kurta,XL,
Os204_3091_2XL,Os204_3091,Kurta,2XL,
Os204_3091_3XL,Os204_3091,Kurta,3XL,
Os160_S,Os160,Kurta,S,
Os160_M,Os160,Kurta,M,
Os160_L,Os160,Kurta,L,
Os160_XL,Os160,Kurta,XL,
Os160_2XL,Os160,Kurta,2XL,
Os160_3XL,Os160,Kurta,3XL,
Os162_S,Os162,Kurta,S,
Os162_M,Os162,Kurta,M,
Os162_L,Os162,Kurta,L,
Os162_XL,Os162,Kurta,XL,
Os162_2XL,Os162,Kurta,2XL,
Os162_3XL,Os162,Kurta,3XL,
Os110_14253_S,Os110_14253,Kurta,S,
Os110_14253_M,Os110_14253,Kurta,M,
Os110_14253_L,Os110_14253,Kurta,L,
Os110_14253_XL,Os110_14253,Kurta,XL,
Os110_14253_2XL,Os110_14253,Kurta,2XL,
Os110_14253_3XL,Os110_14253,Kurta,3XL,
Os117_3063_S,Os117_3063,Kurta,S,
Os117_3063_M,Os117_3063,Kurta,M,
Os117_3063_L,Os117_3063,Kurta,L,
Os117_3063_XL,Os117_3063,Kurta,XL,
Os117_3063_2XL,Os117_3063,Kurta,2XL,
Os117_3063_3XL,Os117_3063,Kurta,3XL,
Os122_1736_S,Os122_1736,Kurta,S,
Os122_1736_M,Os122_1736,Kurta,M,
Os122_1736_L,Os122_1736,Kurta,L,
Os122_1736_XL,Os122_1736,Kurta,XL,
Os122_1736_2XL,Os122_1736,Kurta,2XL,
Os122_1736_3XL,Os122_1736,Kurta,3XL,
Os119_3094_S,Os119_3094,Kurta,S,
Os119_3094_M,Os119_3094,Kurta,M,
Os119_3094_L,Os119_3094,Kurta,L,
Os119_3094_XL,Os119_3094,Kurta,XL,
Os119_3094_2XL,Os119_3094,Kurta,2XL,
Os119_3094_3XL,Os119_3094,Kurta,3XL,
Os120_14412_S,Os120_14412,Kurta,S,
Os120_14412_M,Os120_14412,Kurta,M,
Os120_14412_L,Os120_14412,Kurta,L,
